altitude_km_MSL,minus_Ez_kV_per_m
4.000000,0.000000
4.071398,-0.369412
4.101134,-0.369412
4.130871,-0.369412
4.160607,-0.369412
4.190344,-0.369412
4.220080,-0.369412
4.249817,-0.369412
4.279553,-0.369412
4.309290,-0.369412
4.339026,-0.369412
4.368763,-0.369412
4.398499,-0.369412
4.428236,-0.369412
4.457972,-0.369412
4.487709,-0.369412
4.517445,-0.369412
4.547182,-0.369412
4.576918,-0.369412
4.606655,-0.369412
4.636391,-0.369412
4.666128,-0.369412
4.695864,-0.369412
4.725601,-0.369412
4.755337,-0.369412
4.785074,-0.369412
4.814810,-0.369412
4.844547,-0.369412
4.874283,-0.369412
4.904020,-0.369412
4.933756,-0.369412
4.963493,-0.369412
4.993229,-0.369412
5.022966,-0.369412
5.052702,-0.369412
5.082439,-0.369412
5.112175,-0.369412
5.141912,-0.369412
5.171648,-0.369412
5.201385,-0.369412
5.231121,-0.369412
5.260857,-0.369412
5.290594,-0.369412
5.320330,-0.369412
5.350067,-0.369412
5.379803,-0.369412
5.409540,-0.923530
5.439276,-0.923530
5.469013,-0.923530
5.498749,-0.923530
5.528486,-0.923530
5.558222,-0.923530
5.587959,-1.477648
5.617695,-1.477648
5.647432,-1.477648
5.677168,-1.477648
5.706905,-1.477648
5.736641,-2.031766
5.766378,-2.031766
5.796114,-2.031766
5.825851,-2.585885
5.855587,-2.585885
5.885324,-2.585885
5.915060,-3.140003
5.944797,-3.140003
5.974533,-3.694121
6.004270,-3.694121
6.034006,-4.248239
6.063743,-4.248239
6.093479,-4.802357
6.123216,-4.802357
6.152952,-5.356475
6.182689,-5.910593
6.212425,-5.910593
6.242162,-6.464711
6.271898,-7.018830
6.301635,-7.018830
6.331371,-7.572948
6.361108,-8.127066
6.390844,-8.681184
6.420581,-9.235302
6.450317,-9.789420
6.480054,-10.343538
6.509790,-10.897656
6.539527,-11.451774
6.569263,-12.005893
6.599000,-12.560011
6.628736,-13.114129
6.658472,-13.945306
6.688209,-14.776483
6.717945,-15.330601
6.747682,-15.884719
6.777418,-16.715897
6.807155,-17.547074
6.836891,-18.101192
6.866628,-18.932369
6.896364,-19.763546
6.926101,-20.594723
6.955837,-21.425901
6.985574,-21.980019
7.015310,-22.811196
7.045047,-23.642373
7.074783,-24.473550
7.104520,-25.304727
7.134256,-25.858846
7.163993,-26.690023
7.193729,-27.521200
7.223466,-28.352377
7.253202,-29.183554
7.282939,-29.737672
7.312675,-30.568850
7.342412,-31.400027
7.372148,-31.954145
7.401885,-32.508263
7.431621,-33.339440
7.461358,-34.170617
7.491094,-34.724735
7.520831,-35.278854
7.550567,-35.832972
7.580304,-36.387090
7.610040,-36.941208
7.639777,-37.495326
7.669513,-38.049444
7.699250,-38.049444
7.728986,-38.603562
7.758723,-39.157680
7.788459,-39.157680
7.818196,-39.711799
7.847932,-39.711799
7.877669,-40.265917
7.907405,-40.265917
7.937142,-40.265917
7.966878,-40.265917
7.996615,-40.265917
8.026351,-40.265917
8.056088,-40.265917
8.085824,-40.265917
8.115560,-40.265917
8.145297,-40.265917
8.175033,-39.711799
8.204770,-39.711799
8.234506,-39.157680
8.264243,-39.157680
8.293979,-38.603562
8.323716,-38.049444
8.353452,-38.049444
8.383189,-37.495326
8.412925,-36.941208
8.442662,-36.387090
8.472398,-35.832972
8.502135,-35.278854
8.531871,-34.447676
8.561608,-33.616499
8.591344,-33.062381
8.621081,-32.508263
8.650817,-31.677086
8.680554,-30.845909
8.710290,-30.014731
8.740027,-29.183554
8.769763,-28.352377
8.799500,-27.244141
8.829236,-26.412964
8.858973,-25.581786
8.888709,-24.473550
8.918446,-23.365314
8.948182,-22.257078
8.977919,-21.148842
9.007655,-20.040605
9.037392,-18.655310
9.067128,-17.270015
9.096865,-16.161778
