model,datetime_utc,latitude_deg_N,longitude_deg_E,f107a,f107_previous_day,ap,altitude_km_MSL,temperature_K,neutral_number_density_cm3,neutral_number_density_ratio_to_sea_level,mass_density_g_cm3,mass_density_ratio_to_sea_level,RREA_Eth_abs_kV_per_m,RREA_Eth_negative_kV_per_m,RREA_Eth_positive_kV_per_m
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.0,298.3744755451102,2.4731143542244348e+19,1.0,0.0011885119612778093,1.0,284.0,-284.0,284.0
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.05,298.11336759119433,2.4611752578614202e+19,0.9951724446778529,0.001182774354033707,0.9951724446778528,282.6289742885102,-282.6289742885102,282.6289742885102
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.1,297.8527084408095,2.4492799531201974e+19,0.9903625964308829,0.0011770577918602519,0.9903625964308826,281.2629773863707,-281.2629773863707,281.2629773863707
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.15,297.5924775276985,2.4374285241393795e+19,0.9855704892804092,0.0011713623151921892,0.9855704892804091,279.9020189556362,-279.9020189556362,279.9020189556362
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.2,297.33265442690333,2.42562105007942e+19,0.9807961552348401,0.0011656879620718945,0.9807961552348401,278.5461080866946,-278.5461080866946,278.5461080866946
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.25,297.0732188538944,2.413857605193552e+19,0.9760396243183563,0.001160034768183466,0.9760396243183564,277.1952533064132,-277.1952533064132,277.1952533064132
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.3,296.81415066372966,2.402138258898083e+19,0.9713009245993359,0.001154402766886506,0.9713009245993357,275.8494625862114,-275.8494625862114,275.8494625862114
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.35,296.55542985024465,2.390463075842135e+19,0.9665800822185519,0.001148791989249637,0.9665800822185516,274.5087433500687,-274.5087433500687,274.5087433500687
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.4,296.2970365452717,2.3788321159767925e+19,0.9618771214171336,0.0011432024640837307,0.9618771214171334,273.17310248246594,-273.17310248246594,273.17310248246594
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.45,296.03895101788873,2.3672454346236133e+19,0.9571920645642681,0.0011376342179748335,0.957192064564268,271.84254633625216,-271.84254633625216,271.84254633625216
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.5,295.7811536736967,2.355703082542565e+19,0.9525249321846705,0.001132087275316815,0.9525249321846706,270.51708074044643,-270.51708074044643,270.51708074044643
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.55,295.5236250541252,2.3442051059993936e+19,0.9478757429858244,0.0011265616583437427,0.9478757429858243,269.19671100797416,-269.19671100797416,269.19671100797416
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.6,295.2663458357663,2.3327515468323455e+19,0.9432445138849607,0.0011210573871619487,0.943244513884961,267.8814419433288,-267.8814419433288,267.8814419433288
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.65,295.00929682973504,2.3213424425183252e+19,0.9386312600358082,0.0011155744797818196,0.938631260035808,266.5712778501695,-266.5712778501695,266.5712778501695
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.7,294.75245898105726,2.3099778262384656e+19,0.9340359948551071,0.001110112952149313,0.9340359948551071,265.2662225388504,-265.2662225388504,265.2662225388504
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.75,294.49581336808376,2.2986577269430972e+19,0.9294587300488792,0.0011046728181771752,0.9294587300488791,263.9662793338817,-263.9662793338817,263.9662793338817
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.8,294.2393412019305,2.287382169416115e+19,0.9248994756384546,0.001099254089775877,0.9248994756384546,262.6714510813211,-262.6714510813211,262.6714510813211
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.85,293.9830238259434,2.2761511743387853e+19,0.9203582399862715,0.0010938567768842761,0.9203582399862714,261.3817401561011,-261.3817401561011,261.3817401561011
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.9,293.72684271518995,2.2649647583529316e+19,0.9158350298214258,0.0010884808874999838,0.915835029821426,260.09714846928495,-260.09714846928495,260.09714846928495
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,0.95,293.4707794759736,2.253822934123566e+19,0.9113298502649958,0.001083126427709462,0.9113298502649955,258.8176774752588,-258.8176774752588,258.8176774752588
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.0,293.21481584537344,2.2427257104008966e+19,0.9068427048551146,0.001077793401717826,0.9068427048551148,257.54332817885256,-257.54332817885256,257.54332817885256
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.05,292.958933690807,2.2316730920818176e+19,0.902373595571834,0.0010724818118783889,0.9023735955718338,256.27410114240087,-256.27410114240087,256.27410114240087
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.1,292.7031150096171,2.220665080270723e+19,0.897922522861714,0.0010671916587218944,0.8979225228617141,255.0099964927268,-255.0099964927268,255.0099964927268
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.15,292.4473419286803,2.209701672339842e+19,0.8934894856622193,0.001061922940985505,0.8934894856622191,253.75101392807028,-253.75101392807028,253.75101392807028
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.2,292.1915967040392,2.198782861988907e+19,0.8890744814258467,0.001056675655641484,0.8890744814258464,252.49715272494046,-252.49715272494046,252.49715272494046
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.25,291.9358617205561,2.187908639304324e+19,0.8846775061440493,0.001051449797925625,0.8846775061440492,251.24841174491,-251.24841174491,251.24841174491
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.3,291.6801194915878,2.177078990817712e+19,0.8802985543709082,0.0010462453613653878,0.8802985543709078,250.00478944133792,-250.00478944133792,250.00478944133792
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.35,291.42435265868244,2.166293899563897e+19,0.875937619246581,0.0010410623378077689,0.875937619246581,248.766283866029,-248.766283866029,248.766283866029
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.4,291.16854399129704,2.1555533451383316e+19,0.8715946925205205,0.0010359007174468929,0.8715946925205205,247.5328926758278,-247.5328926758278,247.5328926758278
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.45,290.91267638653477,2.1448573037539463e+19,0.8672697645744613,0.0010307604888513367,0.8672697645744611,246.304613139147,-246.304613139147,246.304613139147
NRLMSISE-00,2000-07-01T12:00:00Z,25.0,-90.0,150.0,150.0,4.0,1.5,290.65673286890245,2.1342057482974396e+19,0.8629628244451816,0.0010256416389911806,0.8629628244451816,245.08144214243157,-245.08144214243157,245.08144214243157
