# citation=Milloy et al., Aust. J. Phys. 28, 231 (1975); Shimamori and Hatano, Chem. Phys. 12, 439 (1976); Hegerberg and Reid, Aust. J. Phys. 33, 227 (1980); Morrow and Lowke, J. Phys. D 30, 614 (1997); de Urquijo et al., J. Phys. D 57, 125205 (2024); Dutton, J. Phys. Chem. Ref. Data 4, 577 (1975)
# gas=dry air (0% H2O); measurement_temperature_K=293..300
# valid_en_td=0.000001..100; interpolation=positive log-linear plus nonnegative two-body onset; below_range=hold zero-field asymptote; above_range=forbidden
en_td,flux_drift_velocity_m_per_s,reduced_flux_mobility_ref_m2_per_v_s,longitudinal_diffusion_ref_m2_per_s,transverse_diffusion_ref_m2_per_s,eta_over_n2_cm5,three_body_rate_cm6_per_s,three_body_frequency_ref_s,eta_over_n_cm2,two_body_rate_cm3_per_s,two_body_frequency_ref_s,relative_uncertainty_mobility,relative_uncertainty_three_body,relative_uncertainty_two_body,source_row
1e-06,0.047,1.7492928390650588,0.04431826373913801,0.04431826373913801,2.551946808510638e-32,1.1994149999999997e-31,86584500.348696,0.0,0.0,0.0,0.05,0.2,0.2,thermal_limit_milloy_shimamori_hatano
0.1,2550.0,0.9490844126842339,0.05871665634384525,0.05871665634384525,4.2406064161425236e-36,1.0813546361163434e-30,780618475.4057568,0.0,0.0,0.0,0.05,0.2,0.2,hegerberg_reid__morrow_lowke__dutton
0.12,2710.0,0.840529006004665,0.05738807916943324,0.05738807916943324,3.361087320561764e-36,9.10854663872238e-31,657536348.6504436,0.0,0.0,0.0,0.03,0.2,0.2,hegerberg_reid__morrow_lowke__dutton
0.14,2850.0,0.7576724302941364,0.05622739043274421,0.05622739043274421,2.7614000820796413e-36,7.869990233926978e-31,568126271.6855172,0.0,0.0,0.0,0.03,0.2,0.2,hegerberg_reid__morrow_lowke__dutton
0.17,2900.0,0.6349122945292455,0.052332519004653626,0.052332519004653626,2.1559001177794865e-36,6.252110341560511e-31,451333233.32535607,0.0,0.0,0.0,0.03,0.2,0.2,hegerberg_reid__morrow_lowke__dutton
0.2,3060.0,0.5694506476105404,0.05124794735479839,0.05124794735479839,1.7524467270349382e-36,5.362486984726911e-31,387112264.0612007,0.0,0.0,0.0,0.03,0.2,0.2,hegerberg_reid__morrow_lowke__dutton
0.25,3260.0,0.48533571534911424,0.04927888930230947,0.04927888930230947,1.3185428530205014e-36,4.298449700846834e-31,310300537.86372936,0.0,0.0,0.0,0.03,0.2,0.2,hegerberg_reid__morrow_lowke__dutton
0.298,3452.450064511802,0.4311970709039124,0.04268851001948733,0.04268851001948733,1.0540219400220282e-36,3.638958114825906e-31,262692537.74717993,0.0,0.0,0.0,0.03,0.2,0.2,hegerberg_reid__morrow_lowke__dutton
0.3,3460.0,0.4292590938414968,0.04265473924312022,0.04265473924312022,1.0450716784360005e-36,3.615948007388562e-31,261031462.4267677,0.0,0.0,0.0,0.03,0.2,0.2,hegerberg_reid__morrow_lowke__dutton
0.35,3660.0,0.38920436419319854,0.042129702196207035,0.042129702196207035,8.586093556563553e-37,3.1425102417022603e-31,226854490.82965457,0.0,0.0,0.0,0.03,0.2,0.2,hegerberg_reid__morrow_lowke__dutton
0.4,3870.0,0.3600937918713712,0.0419776663067443,0.0419776663067443,7.24205273897848e-37,2.8026744099846716e-31,202322101.54833746,0.0,0.0,0.0,0.03,0.2,0.2,hegerberg_reid__morrow_lowke__dutton
0.5,4340.0,0.3230608902783981,0.04262681251568545,0.04262681251568545,5.4489284797455895e-37,2.364834960209586e-31,170714934.7280761,0.0,0.0,0.0,0.03,0.2,0.2,hegerberg_reid__morrow_lowke__dutton
0.6,4770.0,0.2958910227780259,0.04320008932559178,0.04320008932559178,4.318798451609298e-37,2.060066861417635e-31,148714047.99902645,0.0,0.0,0.0,0.03,0.2,0.2,hegerberg_reid__morrow_lowke__dutton
0.8,5630.0,0.26192868840256067,0.04429768754457306,0.04429768754457306,2.9928058334123653e-37,1.6849496842111617e-31,121634735.70041776,0.0,0.0,0.0,0.03,0.2,0.2,hegerberg_reid__morrow_lowke__dutton
0.894,5977.631863355656,0.24886069334892605,0.04454606410945776,0.04454606410945776,2.597573011666567e-37,1.5527335201930786e-31,112090190.6517674,0.0,0.0,0.0,0.03,0.2,0.2,hegerberg_reid__morrow_lowke__dutton
1.0,6350.0,0.23634062825666224,0.04468439462027354,0.04468439462027354,2.2517904146510843e-37,1.4298869133034386e-31,103222024.02297574,0.0,0.0,0.0,0.03,0.2,0.2,measured_endpoint_bridge__morrow_lowke__dutton
